label	text
0	'how old is megan prince harry''s wife'
0	What is the expected cutoff for the KVPY 2016?
1	what is the difference between a goal and an objective
0	Which laptop under INR 60K is slim sleek and good for my programming needs?
1	Which is the best place to visit in Goa?
0	what kind of guitar did keith whitley play
0	where does catcher in the rye title come from
0	What are predators of Komodo dragons?
1	What are the top 10 most popular name in the world
0	Why is it important to have compassion for everyone?
0	Why do lot of people don't follow the principles of swami vivekananda?
0	what type of lizard can walk on water
1	What are some of the best manga apps for iPhone?
0	ways growth can be stunted
0	how many hours do you have to have in college to be considered a junior
0	how many sherwin williams stores in the us
0	is the bile duct part of digestive system
0	what time of the morning is grass dry
0	who took a firm stand in the boston police strike
0	What are examples of unique nouns and how are they used?
0	I am an MCA final year student. What are the scopes for an MCA student in countries like US, Canada? Or is it worth going out of India for this field?
0	what are the duties of a junior deacon
1	what was the first public school in america
0	What is the application of full wave rectifier?
0	who introduced the color wheel to represent the organization of color
0	How does a girl feel after losing her virginity?
0	How do some countries regard the verdict by the Permanent Court of Arbitration, legally empowered arbitration?
0	what does onym mean
0	are pleated pants out of style for men
0	how to tell your mom that you have been asked out
0	how to use chair rail molding cabinets
0	Is life really what you make it?
0	what is a plural
0	love is patient and kind meaning
1	What is the difference between diesel engine and petrol engine?
1	who was the first to be known for using methods of nonviolent civil disobedience in protest
0	when was the last time flyers made the playoffs
0	what type of value does cells function return vba
0	what is the unit of measuring sound intensity pdf
0	How many Gmail accounts can I create with one phone number?
0	what county is lombard il in
0	Why Sri lankans hate India?
0	How do you know if she is the one for you?
0	where does the purr come from in a cat
1	Which books are the best for beginners to learn Python 3?
0	who stopped the practice of mixing of varnas
0	What do pakisthani people think about India?
0	how much money do international fund managers make
0	when is pregnancy detectable
0	what are the spiritual color beads for a job
0	who are the pilgrims in the canterbury tales
0	who is the patron saint for finding jobs
0	what color is heather blue
0	What do we really want in life?
0	what date mexico become independent
0	How do I deactivate my Verizon phone?
0	I am travelling to India vs London from New york and back. I have an indian passport and valid H1b visa (valid till Jan 15th, 2016) during the course of my travel. Do I need any other document to travel?
0	what do scientist try to do with gmo
0	what does ultrasound out off
0	Why cantilever beams have reinforcements on the top surface?
0	what is a role of the pacemaker or sinoatrial node (san)
0	where can i find it comes at night
0	Is it really true that US is backing ISIS?
0	'how come the nl doesn''t have a dh'
0	Why are goats and sheep not considered cattle?
1	Which is the best internet connection? wired or wireless and give reason for your choosed internet connection.
0	what degree is required to be an elected official
1	where si the best dark elixer stored
0	how long does it take for a nose ring to heal
0	what are your triggers
0	what are the age requirements for a u.s border patrol?
0	how does terrorism affect iraq
0	when was the bmw 5 series last redesigned
0	can i go to grad school with a low gpa
0	what does a promise to renegotiate do
0	when do we vote for governor in california
1	What is the best way to get a military star card?
0	what are the sources of salts that accumulate in soils
0	what is big green egg
0	How could I gain weight in a healthy way?
