sentence_id	words	labels
0	which	O
0	mba	OBJ
0	stream	OBJ
0	is	O
0	better	O
0	to	O
0	pursue	O
0	a	O
0	mechanical	O
0	engineer	O
0	as	O
0	fresher	O
1	what	O
1	is	O
1	the	O
1	best	O
1	use	OBJ
1	of	OBJ
1	a	OBJ
1	song	OBJ
1	during	OBJ
1	a	OBJ
1	movie	OBJ
1	or	OBJ
1	tv	OBJ
1	show	OBJ
1	scene	OBJ
2	who	OBJ
2	is	O
2	the	O
2	most	O
2	likely	O
2	next	O
2	president	O
3	what	O
3	books	OBJ
3	should	O
3	you	O
3	read	O
3	to	O
3	improve	O
3	your	O
3	programming	O
3	skills	O
4	what	O
4	are	O
4	the	O
4	cheapest	O
4	free	O
4	instagram	OBJ
4	bots	OBJ
4	that	OBJ
4	automatically	OBJ
4	like	OBJ
4	hashtags	OBJ
4	you	OBJ
4	recommend	OBJ
5	who	O
5	was	O
5	the	O
5	longest	O
5	ruling	O
5	non	OBJ
5	royal	OBJ
5	head	OBJ
5	of	OBJ
5	state	OBJ
5	post	OBJ
5	1900	OBJ
6	what	O
6	is	O
6	the	O
6	best	O
6	washing	OBJ
6	machine	OBJ
6	brand	OBJ
6	in	OBJ
6	india	OBJ
7	where	O
7	is	O
7	the	O
7	best	O
7	hangout	OBJ
7	cafe	OBJ
7	in	OBJ
7	hyderabad	OBJ
8	what	O
8	is	O
8	the	O
8	main	O
8	function	OBJ
8	of	OBJ
8	the	OBJ
8	peripheral	OBJ
8	nervous	OBJ
8	system	OBJ
9	which	O
9	is	O
9	the	O
9	best	O
9	business	OBJ
9	below	OBJ
9	10	OBJ
9	lakhs	OBJ
10	what	O
10	marinades	OBJ
10	are	O
10	the	O
10	best	O
10	for	O
10	tenderizing	O
10	pork	O
10	chops	O
11	what	O
11	are	O
11	the	O
11	best	O
11	resources	OBJ
11	for	O
11	learning	O
11	spanish	O
11	and	O
11	how	O
11	can	O
11	i	O
11	become	O
11	a	O
11	competent	O
11	speaker	O
11	reader	O
11	and	O
11	writer	O
11	of	O
11	the	O
11	spanish	O
11	language	O
12	what	O
12	foods	OBJ
12	burn	O
12	calories	O
12	faster	O
12	to	O
12	blast	O
12	that	O
12	fat	O
13	what	O
13	are	O
13	the	O
13	most	O
13	interesting	O
13	questions	OBJ
13	asked	OBJ
13	in	OBJ
13	any	OBJ
13	interview	OBJ
14	what	O
14	are	O
14	the	O
14	most	O
14	unusual	O
14	and	O
14	innovative	O
14	punishments	OBJ
14	that	OBJ
14	you	OBJ
14	have	OBJ
14	heard	OBJ
14	experienced	OBJ
14	in	OBJ
14	school	OBJ
15	which	O
15	are	O
15	the	O
15	best	O
15	ca	OBJ
15	firm	OBJ
15	for	OBJ
15	articleship	OBJ
15	in	OBJ
15	india	OBJ
16	what	O
16	is	O
16	the	O
16	second	O
16	biggest	O
16	ship	OBJ
16	in	OBJ
16	the	OBJ
16	world	OBJ
17	which	O
17	was	O
17	the	O
17	first	O
17	national	OBJ
17	park	OBJ
18	what	O
18	is	O
18	the	O
18	best	O
18	way	OBJ
18	to	OBJ
18	say	OBJ
18	thank	OBJ
18	you	OBJ
19	what	O
19	is	O
19	the	O
19	easiest	O
19	way	OBJ
19	to	OBJ
19	earn	OBJ
19	money	OBJ
19	from	OBJ
19	online	OBJ
20	do	O
20	employees	OBJ
20	at	OBJ
20	b	OBJ
20	g	OBJ
20	foods	OBJ
20	have	O
20	a	O
20	good	O
20	work	O
20	life	O
20	balance	O
20	does	O
