id	asp	question	clean	pos	lemma
21635	1	Which MBA stream is better to pursue a mechanical engineer as fresher?	which mba stream is better to pursue a mechanical engineer as fresher	['WDT', 'NN', 'NN', 'VBZ', 'JJR', 'TO', 'VB', 'DT', 'JJ', 'NN', 'RB', 'JJR']	['which', 'mba', 'stream', 'be', 'better', 'to', 'pursue', 'a', 'mechanical', 'engineer', 'as', 'fresher']
22565	0	What is the best use of a song during a movie or tv show scene?	what is the best use of a song during a movie or tv show scene	['WP', 'VBZ', 'DT', 'JJS', 'NN', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', 'CC', 'NN', 'NN', 'NN']	['what', 'be', 'the', 'best', 'use', 'of', 'a', 'song', 'during', 'a', 'movie', 'or', 'tv', 'show', 'scene']
33184	1	Python template engines: What are the real benifits and drawbacks to XML vs custom syntax	python template engines what are the real benifits and drawbacks to xml vs custom syntax	['NN', 'NN', 'NNS', 'WP', 'VBP', 'DT', 'JJ', 'NNS', 'CC', 'NNS', 'IN', 'NN', 'IN', 'JJ', 'NN']	['python', 'template', 'engine', 'what', 'be', 'the', 'real', 'benifit', 'and', 'drawback', 'to', 'xml', 'versus', 'custom', 'syntax']
19648	1	who is the most likely next president	who is the most likely next president	['WP', 'VBZ', 'DT', 'RBS', 'RB', 'JJ', 'NN']	['who', 'be', 'the', 'most', 'likely', 'next', 'president']
22071	1	What books should you read to improve your programming skills?	what books should you read to improve your programming skills	['WDT', 'NNS', 'MD', 'PRP', 'VB', 'TO', 'VB', 'PRP$', 'NN', 'NNS']	['what', 'book', 'should', 'you', 'read', 'to', 'improve', 'you', 'programming', 'skill']
22973	0	What are the cheapest/free Instagram bots that automatically like hashtags you recommend?	what are the cheapest free instagram bots that automatically like hashtags you recommend	['WP', 'VBP', 'DT', 'JJS', 'JJ', 'NN', 'NNS', 'WDT', 'RB', 'VBP', 'NNS', 'PRP', 'VBP']	['what', 'be', 'the', 'cheapest', 'free', 'instagram', 'bot', 'that', 'automatically', 'like', 'hashtag', 'you', 'recommend']
6783	1	who was the longest ruling non-royal head of state post-1900	who was the longest ruling non royal head of state post 1900	['WP', 'VBD', 'DT', 'JJS', 'NN', 'AFX', 'JJ', 'NN', 'IN', 'NN', 'NN', 'CD']	['who', 'be', 'the', 'longest', 'ruling', 'non', 'royal', 'head', 'of', 'state', 'post', '1900']
33151	1	What's the better way to charge for a cloud platform, simple but more expensive, or complicated but cheaper for most?	what s the better way to charge for a cloud platform simple but more expensive or complicated but cheaper for most	['WP', 'VBZ', 'DT', 'JJR', 'NN', 'TO', 'VB', 'IN', 'DT', 'JJ', 'NN', 'JJ', 'CC', 'RBR', 'JJ', 'CC', 'JJ', 'CC', 'JJR', 'IN', 'JJS']	['what', 'be', 'the', 'better', 'way', 'to', 'charge', 'for', 'a', 'cloud', 'platform', 'simple', 'but', 'more', 'expensive', 'or', 'complicated', 'but', 'cheaper', 'for', 'most']
22569	0	What is the best Washing machine brand, in India?	what is the best washing machine brand in india	['WP', 'VBZ', 'DT', 'JJS', 'NN', 'NN', 'NN', 'IN', 'NNP']	['what', 'be', 'the', 'best', 'wash', 'machine', 'brand', 'in', 'india']
23155	0	What are the differences between through and thru?	what are the differences between through and thru	['WP', 'VBP', 'DT', 'NNS', 'IN', 'RB', 'CC', '.']	['what', 'be', 'the', 'difference', 'between', 'through', 'and', 'through']
22739	0	Where is the best hangout cafe in Hyderabad?	where is the best hangout cafe in hyderabad	['WRB', 'VBZ', 'DT', 'JJS', 'NN', 'NN', 'IN', 'NNP']	['where', 'be', 'the', 'best', 'hangout', 'cafe', 'in', 'hyderabad']
33238	1	Are there any risks down the line choosing maths vs. stats PhD programme?	are there any risks down the line choosing maths vs stats phd programme	['VBP', 'EX', 'DT', 'NNS', 'IN', 'DT', 'NN', 'VBG', 'NNS', 'IN', 'NNS', 'NN', 'NN']	['be', 'there', 'any', 'risk', 'down', 'the', 'line', 'choose', 'math', 'versus', 'stat', 'phd', 'programme']
6911	0	What is the main function of the peripheral nervous system	what is the main function of the peripheral nervous system	['WP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'DT', 'JJ', 'JJ', 'NN']	['what', 'be', 'the', 'main', 'function', 'of', 'the', 'peripheral', 'nervous', 'system']
22811	0	Which is the best business below 10 lakhs?	which is the best business below 10 lakhs	['WDT', 'VBZ', 'DT', 'JJS', 'NN', 'IN', 'CD', 'NNS']	['which', 'be', 'the', 'best', 'business', 'below', '10', 'lakh']
22673	1	What marinades are the best for tenderizing pork chops?	what marinades are the best for tenderizing pork chops	['WDT', 'NNS', 'VBP', 'DT', 'JJS', 'IN', 'VBG', 'NN', 'NNS']	['what', 'marinade', 'be', 'the', 'best', 'for', 'tenderize', 'pork', 'chop']
2130	1	who has more fans manchester united or city	who has more fans manchester united or city	['WP', 'VBZ', 'JJR', 'NNS', 'NNP', 'NNP', 'CC', 'NN']	['who', 'have', 'more', 'fan', 'manchester', 'united', 'or', 'city']
22328	1	What are the best resources for learning Spanish and how can I become a competent speaker, reader and writer of the Spanish language?	what are the best resources for learning spanish and how can i become a competent speaker reader and writer of the spanish language	['WP', 'VBP', 'DT', 'JJS', 'NNS', 'IN', 'VBG', 'JJ', 'CC', 'WRB', 'MD', 'PRP', 'VB', 'DT', 'JJ', 'NN', 'NN', 'CC', 'NN', 'IN', 'DT', 'JJ', 'NN']	['what', 'be', 'the', 'best', 'resource', 'for', 'learn', 'spanish', 'and', 'how', 'can', 'i', 'become', 'a', 'competent', 'speaker', 'reader', 'and', 'writer', 'of', 'the', 'spanish', 'language']
13378	1	what foods burn calories faster to blast that fat	what foods burn calories faster to blast that fat	['WDT', 'NNS', 'VBP', 'NNS', 'RBR', 'TO', 'VB', 'DT', 'JJ']	['what', 'food', 'burn', 'calory', 'faster', 'to', 'blast', 'that', 'fat']
23310	1	What are the most interesting questions asked in any interview?	what are the most interesting questions asked in any interview	['WP', 'VBP', 'DT', 'RBS', 'JJ', 'NNS', 'VBN', 'IN', 'DT', 'NN']	['what', 'be', 'the', 'most', 'interesting', 'question', 'ask', 'in', 'any', 'interview']
23323	1	What are the most unusual and innovative punishments that you have heard/experienced in school?	what are the most unusual and innovative punishments that you have heard experienced in school	['WP', 'VBP', 'DT', 'RBS', 'JJ', 'CC', 'JJ', 'NNS', 'WDT', 'PRP', 'VBP', 'VBN', 'VBN', 'IN', 'NN']	['what', 'be', 'the', 'most', 'unusual', 'and', 'innovative', 'punishment', 'that', 'you', 'have', 'hear', 'experience', 'in', 'school']
22753	0	Which are the best CA firm for Articleship in India?	which are the best ca firm for articleship in india	['WDT', 'VBP', 'DT', 'JJS', 'NN', 'NN', 'IN', 'NN', 'IN', 'NNP']	['which', 'be', 'the', 'best', 'can', 'firm', 'for', 'articleship', 'in', 'india']
425	0	what is the second biggest ship in the world	what is the second biggest ship in the world	['WP', 'VBZ', 'DT', 'JJ', 'JJS', 'NN', 'IN', 'DT', 'NN']	['what', 'be', 'the', 'second', 'biggest', 'ship', 'in', 'the', 'world']
18899	0	which was the first national park	which was the first national park	['WDT', 'VBD', 'DT', 'JJ', 'JJ', 'NN']	['which', 'be', 'the', 'first', 'national', 'park']
22649	0	"What is the best way to say ""Thank you""?"	what is the best way to say thank you	['WP', 'VBZ', 'DT', 'JJS', 'NN', 'TO', 'VB', 'VBP', 'PRP']	['what', 'be', 'the', 'best', 'way', 'to', 'say', 'thank', 'you']
